Subject1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec       N-M    Degrees      Degrees       DEG/SEC
     0       0.0      170.1           87         -5.3
    10      25.8      170.1           87          6.3
    20      29.8      170.2           87         19.7
    30      32.8      170.5           87         36.4
    40      35.1      171.0           86         50.5
    50      35.3      171.7           86         69.7
    60      35.9      172.5           85         89.4
    70      36.3      173.5           84        108.8
    80      38.0      174.8           83        128.3
    90      40.0      176.2           81        149.3
   100      43.0      177.9           80        169.0
   110      54.5      179.6           78        173.0
   120      68.5      181.3           76        174.1
   130      80.0      183.1           74        175.1
   140      89.0      184.8           73        176.2
   150      93.4      186.6           71        176.7
   160      94.9      188.4           69        176.2
   170      94.6      190.1           67        176.2
   180      95.9      191.9           66        176.7
   190     100.6      193.7           64        177.0
   200     106.3      195.4           62        178.3
   210     111.9      197.2           60        178.6
   220     116.8      199.0           58        179.1
   230     119.7      200.8           57        179.7
   240     120.5      202.6           55        179.9
   250     120.1      204.4           53        179.9
   260     119.7      206.2           51        179.4
   270     120.1      208.0           49        179.7
   280     121.1      209.8           48        179.9
   290     121.0      211.6           46        179.9
   300     120.1      213.4           44        179.9
   310     118.4      215.2           42        179.4
   320     117.2      217.0           40        179.4
   330     114.6      218.8           39        179.7
   340     111.2      220.6           37        179.4
   350     106.6      222.4           35        179.1
   360     101.4      224.2           33        179.1
   370      97.4      226.0           31        178.9
   380      93.2      227.8           30        179.1
   390      89.1      229.5           28        178.9
   400      86.4      231.3           26        178.9
   410      81.9      233.1           24        179.1
   420      77.2      234.9           23        179.1
   430      71.5      236.7           21        179.1
   440      65.5      238.5           19        178.9
   450      59.7      240.2           17        161.0
   460      73.4      241.8           16        130.7
   470      94.2      243.0           14        111.8
   480     102.9      243.9           14         85.4
   490      89.4      244.6           13         57.5
   500      67.1      245.1           12         47.3
   510      47.1      245.5           12         31.1
   520      34.8      245.8           12         27.9
   530      31.1      246.0           11         19.1
   540      29.4      246.1           11         13.0
   550      26.0      246.2           11         11.9
   560      21.2      246.3           11          7.9
   570     -15.6      246.4           11          5.3
   580     -16.7      246.4           11          4.2
   590     -37.6      246.5           11          1.8
   600      -5.7      246.4           11         -8.5
   610     -33.4      246.2           11        -18.6
   620     -39.6      245.9           12        -39.6
   630     -47.6      245.3           12        -75.8
   640     -45.6      244.4           13       -103.0
   650     -39.3      243.1           14       -121.1
   660     -29.0      241.4           16       -180.4
   670     -41.5      239.7           18       -191.6
   680     -58.6      238.0           19       -175.4
   690     -79.2      236.2           21       -177.3
   700     -95.7      234.4           23       -179.1
   710    -103.7      232.6           25       -179.9
   720    -102.8      230.8           27       -179.9
   730     -94.5      229.0           28       -179.4
   740     -84.9      227.2           30       -179.1
   750     -83.4      225.4           32       -178.6
   760     -87.6      223.6           34       -179.1
   770     -92.6      221.8           36       -179.7
   780     -96.7      220.0           37       -180.2
   790     -97.6      218.2           39       -180.2
   800     -98.3      216.4           41       -179.9
   810     -98.4      214.6           43       -179.7
   820     -99.9      212.9           45       -179.7
   830    -101.0      211.1           46       -179.7
   840     -99.4      209.3           48       -180.2
   850     -99.4      207.5           50       -179.4
   860     -97.6      205.7           52       -179.4
   870     -94.1      203.9           54       -179.4
   880     -93.3      202.1           55       -179.4
   890     -92.2      200.3           57       -179.7
   900     -91.8      198.5           59       -179.9
   910     -91.7      196.7           61       -179.4
   920     -90.2      194.9           63       -179.4
   930     -88.0      193.1           64       -179.7
   940     -86.0      191.3           66       -179.7
   950     -83.5      189.5           68       -178.9
   960     -81.2      187.7           70       -179.4
   970     -79.5      185.9           72       -179.1
   980     -76.3      184.1           73       -179.1
   990     -72.7      182.3           75       -179.1
  1000     -70.1      180.5           77       -179.1
  1010     -67.8      178.8           79       -178.9
  1020     -64.4      177.0           80       -179.1
  1030     -60.6      175.2           82       -179.1
  1040     -59.8      173.4           84       -187.9
  1050     -77.0      172.1           85       -129.9
  1060     -86.8      171.0           86       -107.5
  1070     -82.4      170.2           87        -74.8
  1080     -67.4      169.6           88        -55.9
  1090     -48.4      169.2           88        -41.2
  1100     -31.9      168.8           89        -33.5
